,time_s,speed_mph,speed_mph_capped
1356,1356,20.0,20.0
1357,1357,19.6,19.6
1358,1358,18.5,18.5
1359,1359,17.5,17.5
1360,1360,16.5,16.5
1361,1361,15.5,15.5
1362,1362,14.0,14.0
1363,1363,11.0,11.0
1364,1364,8.0,8.0
1365,1365,5.2,5.2
1366,1366,2.5,2.5
1367,1367,0.0,0.0
1368,1368,0.0,0.0
1369,1369,0.0,0.0
