,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
34,34,11.176,11.176,334.2239999999998,0,5571.443485953734,5571.443485953734,272829.20190488955
35,35,11.176,11.176,345.3999999999998,0,5571.443485953734,5571.443485953734,278400.6453908433
36,36,11.176,11.176,356.5759999999998,0,5571.443485953734,5571.443485953734,283972.088876797
37,37,11.176,11.176,367.7519999999998,0,5571.443485953734,5571.443485953734,289543.53236275073
38,38,11.176,11.176,378.92799999999977,0,5571.443485953734,5571.443485953734,295114.97584870446
39,39,11.176,11.176,390.10399999999976,0,5571.443485953734,5571.443485953734,300686.4193346582
40,40,11.176,11.176,401.27999999999975,0,5571.443485953734,5571.443485953734,306257.8628206119
41,41,11.176,11.176,412.45599999999973,0,5571.443485953734,5571.443485953734,311829.30630656565
42,42,11.176,11.176,423.6319999999997,0,5571.443485953734,5571.443485953734,317400.7497925194
43,43,11.176,11.176,434.8079999999997,0,5571.443485953734,5571.443485953734,322972.1932784731
44,44,11.176,11.176,445.9839999999997,0,5571.443485953734,5571.443485953734,328543.63676442683
45,45,11.176,11.176,457.1599999999997,0,5571.443485953734,5571.443485953734,334115.08025038056
46,46,11.176,11.176,468.3359999999997,0,5571.443485953734,5571.443485953734,339686.5237363343
47,47,11.176,11.176,479.51199999999966,0,5571.443485953734,5571.443485953734,345257.967222288
48,48,11.176,11.176,490.68799999999965,0,5571.443485953734,5571.443485953734,350829.41070824175
49,49,11.176,11.176,501.86399999999963,0,5571.443485953734,5571.443485953734,356400.8541941955
50,50,11.176,11.176,513.0399999999996,0,5571.443485953734,5571.443485953734,361972.2976801492
51,51,11.176,11.176,524.2159999999997,0,5571.443485953734,5571.443485953734,367543.74116610293
52,52,11.176,11.176,535.3919999999997,0,5571.443485953734,5571.443485953734,373115.18465205666
53,53,11.176,11.176,546.5679999999998,0,5571.443485953734,5571.443485953734,378686.6281380104
54,54,11.176,11.176,557.7439999999998,0,5571.443485953734,5571.443485953734,384258.0716239641
55,55,11.176,11.176,568.9199999999998,0,5571.443485953734,5571.443485953734,389829.51510991785
56,56,11.176,11.176,580.0959999999999,0,5571.443485953734,5571.443485953734,395400.9585958716
57,57,11.176,11.176,591.2719999999999,0,5571.443485953734,5571.443485953734,400972.4020818253
58,58,11.176,11.176,602.448,0,5571.443485953734,5571.443485953734,406543.84556777903
59,59,11.176,11.176,613.624,0,5571.443485953734,5571.443485953734,412115.28905373276
60,60,11.176,11.176,624.8000000000001,0,5571.443485953734,5571.443485953734,417686.7325396865
61,61,11.176,11.176,635.9760000000001,0,5571.443485953734,5571.443485953734,423258.1760256402
62,62,11.176,11.176,647.1520000000002,0,5571.443485953734,5571.443485953734,428829.61951159395
63,63,11.176,11.176,658.3280000000002,0,5571.443485953734,5571.443485953734,434401.0629975477
64,64,11.176,11.176,669.5040000000002,0,5571.443485953734,5571.443485953734,439972.5064835014
65,65,11.176,11.176,680.6800000000003,0,5571.443485953734,5571.443485953734,445543.94996945513
66,66,11.176,11.176,691.8560000000003,0,5571.443485953734,5571.443485953734,451115.39345540886
67,67,11.176,11.176,703.0320000000004,0,5571.443485953734,5571.443485953734,456686.8369413626
68,68,11.176,11.176,714.2080000000004,0,5571.443485953734,5571.443485953734,462258.2804273163
69,69,11.176,11.176,725.3840000000005,0,5571.443485953734,5571.443485953734,467829.72391327005
70,70,11.176,11.176,736.5600000000005,0,5571.443485953734,5571.443485953734,473401.1673992238
71,71,11.176,11.176,747.7360000000006,0,5571.443485953734,5571.443485953734,478972.6108851775
72,72,11.176,11.176,758.9120000000006,0,5571.443485953734,5571.443485953734,484544.05437113123
73,73,11.176,11.176,770.0880000000006,0,5571.443485953734,5571.443485953734,490115.49785708496
74,74,11.176,11.176,781.2640000000007,0,5571.443485953734,5571.443485953734,495686.9413430387
75,75,11.176,11.176,792.4400000000007,0,5571.443485953734,5571.443485953734,501258.3848289924
76,76,11.176,11.176,803.6160000000008,0,5571.443485953734,5571.443485953734,506829.82831494615
77,77,11.176,11.176,814.7920000000008,0,5571.443485953734,5571.443485953734,512401.2718008999
78,78,11.176,11.176,825.9680000000009,0,5571.443485953734,5571.443485953734,517972.7152868536
79,79,11.176,11.176,837.1440000000009,0,5571.443485953734,5571.443485953734,523544.15877280734
80,80,11.176,11.176,848.320000000001,0,5571.443485953734,5571.443485953734,529115.6022587611
81,81,11.176,11.176,859.496000000001,0,5571.443485953734,5571.443485953734,534687.0457447148
82,82,11.176,11.176,870.672000000001,0,5571.443485953734,5571.443485953734,540258.4892306685
83,83,11.176,11.176,881.8480000000011,0,5571.443485953734,5571.443485953734,545829.9327166223
84,84,11.176,11.176,893.0240000000011,0,5571.443485953734,5571.443485953734,551401.376202576
85,85,11.176,11.176,904.2000000000012,0,5571.443485953734,5571.443485953734,556972.8196885297
86,86,11.176,11.176,915.3760000000012,0,5571.443485953734,5571.443485953734,562544.2631744834
87,87,11.176,11.176,926.5520000000013,0,5571.443485953734,5571.443485953734,568115.7066604372
88,88,11.176,11.176,937.7280000000013,0,5571.443485953734,5571.443485953734,573687.1501463909
89,89,10.176,10.176,947.9040000000014,-1,-9523.090143789466,-9523.090143789466,573687.1501463909
90,90,9.176,9.176,957.0800000000014,-1,-8731.146715132665,-8731.146715132665,573687.1501463909
91,91,8.176,8.176,965.2560000000014,-1,-7894.589345075865,-7894.589345075865,573687.1501463909
92,92,7.176,7.176,972.4320000000015,-1,-7018.280058619066,-7018.280058619066,573687.1501463909
93,93,6.176,6.176,978.6080000000015,-1,-6107.080880762266,-6107.080880762266,573687.1501463909
94,94,5.176,5.176,983.7840000000016,-1,-5165.853836505466,-5165.853836505466,573687.1501463909
95,95,6.176,6.176,989.9600000000016,1,11396.376303237736,11396.376303237736,585083.5264496286
96,96,5.176,5.176,995.1360000000017,-1,-5165.853836505466,-5165.853836505466,585083.5264496286
97,97,0.0,2.3890559999985044,997.5250560000002,-1,0.0,0.0,585083.5264496286
