,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
93,429.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
94,430.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
95,431.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
96,432.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
97,433.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
98,434.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
99,435.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
100,436.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
101,437.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
102,438.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
103,494.04357137121616,1.1010000000000029,0.0023760000030961237,0.023587999953861072,-2.0,-2681.8397005874576,-200.59991238837466,-268.1839700587458,10
104,495.04357137121616,0.0,0.0,0.023587999953861072,-0.44704,0.0,-200.59991238837466,0.0,11
105,496.04357137121616,0.0,0.0,0.023587999953861072,0.0,0.0,-200.59991238837466,0.0,11
106,497.04357137121616,0.0,0.0,0.023587999953861072,0.0,0.0,-200.59991238837466,0.0,11
107,498.04357137121616,0.0,0.0,0.023587999953861072,0.0,0.0,-200.59991238837466,0.0,11
108,499.04357137121616,0.0,0.0,0.023587999953861072,0.0,0.0,-200.59991238837466,0.0,11
109,500.04357137121616,0.0,0.0,0.023587999953861072,0.0,0.0,-200.59991238837466,0.0,11
110,536.943571371213,0.07600000000000257,0.007599999999740703,0.031187999953601775,-2.0,-185.19674828129186,-219.11958721650385,-18.519674828129187,12
111,537.943571371213,0.0,0.0,0.031187999953601775,-1.475232,0.0,-219.11958721650385,0.0,13
