,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
81,27.099999999999994,11.176,1.1176000000000001,33.64520000000001,1.75,33286.195396953735,109959.49267823657,3328.6195396953735,2
82,27.199999999999996,11.176,1.1176000000000001,34.76280000000001,1.5,29326.945123953737,112892.18719063194,2932.6945123953737,2
83,27.299999999999994,11.176,1.1176000000000001,35.880400000000016,1.25,25367.694850953736,115428.95667572731,2536.769485095374,2
84,27.39999999999999,11.176,1.1176000000000001,36.99800000000002,1.0,21408.44457795374,117569.80113352269,2140.8444577953737,2
85,27.499999999999993,11.176,1.1176000000000001,38.11560000000002,0.75,17449.194304953737,119314.72056401806,1744.9194304953737,2
86,27.599999999999994,11.176,1.1176000000000001,39.233200000000025,0.5,13489.944031953733,120663.71496721344,1348.9944031953735,2
87,27.699999999999992,11.176,1.1176000000000001,40.35080000000003,0.25,9530.693758953734,121616.78434310881,953.0693758953735,2
88,27.79999999999999,11.176,1.1176000000000001,41.46840000000003,0.0,5571.443485953734,122173.92869170419,557.1443485953735,2
89,27.89999999999999,11.176,1.1176000000000001,42.586000000000034,0.0,5571.443485953734,122731.07304029957,557.1443485953735,2
90,27.999999999999993,11.176,1.1176000000000001,43.70360000000004,0.0,5571.443485953734,123288.21738889495,557.1443485953735,2
91,28.09999999999999,11.176,1.1176000000000001,44.82120000000004,0.0,5571.443485953734,123845.36173749033,557.1443485953735,2
92,28.19999999999999,11.176,1.1176000000000001,45.93880000000004,0.0,5571.443485953734,124402.5060860857,557.1443485953735,2
93,28.29999999999999,11.176,1.1176000000000001,47.056400000000046,0.0,5571.443485953734,124959.65043468108,557.1443485953735,2
94,28.39999999999999,11.176,1.1176000000000001,48.17400000000005,0.0,5571.443485953734,125516.79478327646,557.1443485953735,2
95,28.49999999999999,11.176,1.1176000000000001,49.29160000000005,0.0,5571.443485953734,126073.93913187184,557.1443485953735,2
96,28.599999999999987,11.176,1.1176000000000001,50.409200000000055,0.0,5571.443485953734,126631.08348046722,557.1443485953735,2
97,28.69999999999999,11.176,1.1176000000000001,51.52680000000006,0.0,5571.443485953734,127188.2278290626,557.1443485953735,2
98,28.79999999999999,11.176,1.1176000000000001,52.64440000000006,0.0,5571.443485953734,127745.37217765798,557.1443485953735,2
99,28.899999999999988,11.176,1.1176000000000001,53.762000000000064,0.0,5571.443485953734,128302.51652625336,557.1443485953735,2
100,28.999999999999986,11.176,1.1176000000000001,54.87960000000007,0.0,5571.443485953734,128859.66087484873,557.1443485953735,2
101,29.099999999999987,11.176,1.1176000000000001,55.99720000000007,0.0,5571.443485953734,129416.80522344411,557.1443485953735,2
102,29.19999999999999,11.176,1.1176000000000001,57.11480000000007,0.0,5571.443485953734,129973.94957203949,557.1443485953735,2
103,29.299999999999986,11.176,1.1176000000000001,58.23240000000008,0.0,5571.443485953734,130531.09392063487,557.1443485953735,2
104,29.399999999999984,11.176,1.1176000000000001,59.35000000000008,0.0,5571.443485953734,131088.23826923023,557.1443485953735,2
105,29.499999999999986,11.176,1.1176000000000001,60.46760000000008,0.0,5571.443485953734,131645.3826178256,557.1443485953735,2
106,29.599999999999987,11.176,1.1176000000000001,61.585200000000086,0.0,5571.443485953734,132202.526966421,557.1443485953735,2
107,29.699999999999985,11.176,1.1176000000000001,62.70280000000009,0.0,5571.443485953734,132759.67131501637,557.1443485953735,2
108,29.799999999999983,11.176,1.1176000000000001,63.82040000000009,0.0,5571.443485953734,133316.81566361175,557.1443485953735,2
109,29.899999999999984,11.176,1.1176000000000001,64.93800000000009,0.0,5571.443485953734,133873.96001220713,557.1443485953735,2
110,29.999999999999986,11.176,1.1176000000000001,66.05560000000008,0.0,5571.443485953734,134431.1043608025,557.1443485953735,2
111,30.099999999999984,11.176,1.1176000000000001,67.17320000000008,0.0,5571.443485953734,134988.24870939789,557.1443485953735,2
112,30.19999999999998,11.176,1.1176000000000001,68.29080000000008,0.0,5571.443485953734,135545.39305799326,557.1443485953735,2
113,30.299999999999983,11.176,1.1176000000000001,69.40840000000007,0.0,5571.443485953734,136102.53740658864,557.1443485953735,2
114,30.399999999999984,11.176,1.1176000000000001,70.52600000000007,0.0,5571.443485953734,136659.68175518402,557.1443485953735,2
115,30.499999999999982,11.176,1.1176000000000001,71.64360000000006,0.0,5571.443485953734,137216.8261037794,557.1443485953735,2
116,30.59999999999998,11.176,1.1176000000000001,72.76120000000006,0.0,5571.443485953734,137773.97045237478,557.1443485953735,2
117,30.69999999999998,11.176,1.1176000000000001,73.87880000000006,0.0,5571.443485953734,138331.11480097016,557.1443485953735,2
118,30.799999999999983,11.176,1.1176000000000001,74.99640000000005,0.0,5571.443485953734,138888.25914956554,557.1443485953735,2
119,30.89999999999998,11.176,1.1176000000000001,76.11400000000005,0.0,5571.443485953734,139445.40349816091,557.1443485953735,2
120,30.99999999999998,11.176,1.1176000000000001,77.23160000000004,0.0,5571.443485953734,140002.5478467563,557.1443485953735,2
