segment_id,segment_length,cumulative_length,segment_elev_change,segment_time,cumulative_time,segment_energy,cumulative_energy
1,24.003761976552596,24.003761976552596,0.0,10.075239531051688,10.075239531051688,21076.322960178815,21076.322960178815
2,70.25339471141035,94.25715668796295,3.0,16.177859615213826,26.253099146265512,84780.65575555229,105856.97871573111
3,234.2765140206482,328.5336707086111,3.0,31.752123793708666,58.005222939974175,203605.42217205671,309462.4008877878
4,420.34837153403583,748.882042242647,-6.0,49.54228712048687,107.54751006046104,200056.6692147209,509519.0701025087
5,859.8102818869171,1608.692324129564,5.0,88.87575849214161,196.42326855260265,547973.5122123236,1057492.5823148324
6,1161.210186018031,2769.902510147595,-16.0,115.7824802401871,312.20574879278973,436582.0910306202,1494074.6733454526
7,300.45465480481136,3070.3571649524065,-9.0,37.2591533173616,349.46490211015134,113721.1482943305,1607795.8216397832
8,72.18234607317758,3142.539511025584,0.0,16.88938429271049,366.3542864028618,65245.19080404249,1673041.0124438256
9,163.81980418574372,3306.3593152113276,1.0,26.566722476582786,392.9210088794446,147635.74474038868,1820676.7571842142
