time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J,segment_id
205.03237124339154,2.7500000000000013,0.27500000000000013,1647.3856206906607,1.0,4696.2736449208405,469.6273644920841,853820.1016512265,6
205.13237124339153,2.8500000000000014,0.28500000000000014,1647.6706206906608,1.0,4868.340530658872,486.83405306588725,854306.9357042924,6
205.23237124339153,2.9500000000000015,0.29500000000000015,1647.965620690661,1.0,5040.545984109402,504.0545984109402,854810.9903027033,6
205.33237124339152,3.0500000000000016,0.30500000000000016,1648.270620690661,1.0,5212.894867297433,521.2894867297433,855332.2797894331,6
205.43237124339154,3.1500000000000017,0.31500000000000017,1648.585620690661,1.0,5385.392042247963,538.5392042247963,855870.818993658,6
205.53237124339154,3.2500000000000018,0.3250000000000002,1648.910620690661,1.0,5558.042370985994,555.8042370985994,856426.6232307565,6
205.63237124339153,3.350000000000002,0.3350000000000002,1649.245620690661,1.0,5730.850715536525,573.0850715536525,856999.7083023102,6
205.73237124339153,3.450000000000002,0.3450000000000002,1649.5906206906611,1.0,5903.821937924556,590.3821937924556,857590.0904961027,6
205.83237124339152,3.550000000000002,0.3550000000000002,1649.9456206906611,1.0,6076.960900175086,607.6960900175086,858197.7865861203,6
205.93237124339154,3.650000000000002,0.3650000000000002,1650.3106206906612,1.0,6250.272464313117,625.0272464313117,858822.8138325516,6
206.03237124339154,3.750000000000002,0.3750000000000002,1650.6856206906612,1.0,6423.7614923636465,642.3761492363647,859465.1899817879,6
206.13237124339153,3.8500000000000023,0.38500000000000023,1651.0706206906611,1.0,6597.432846351678,659.7432846351678,860124.9332664231,6
206.23237124339153,3.9500000000000024,0.39500000000000024,1651.4656206906611,1.0,6771.291388302208,677.1291388302209,860802.0624052533,6
206.33237124339152,4.0500000000000025,0.40500000000000025,1651.870620690661,1.0,6945.341980240239,694.5341980240239,861496.5966032774,6
206.43237124339154,4.150000000000002,0.41500000000000026,1652.285620690661,1.0,7119.58948419077,711.958948419077,862208.5555516965,6
206.53237124339154,4.250000000000002,0.4250000000000002,1652.710620690661,1.0,7294.0387621787995,729.40387621788,862937.9594279143,6
206.63237124339153,4.350000000000001,0.43500000000000016,1653.145620690661,1.0,7468.694676229329,746.8694676229329,863684.8288955373,6
206.73237124339153,4.450000000000001,0.4450000000000001,1653.590620690661,1.0,7643.562088367359,764.356208836736,864449.1851043741,6
206.83237124339152,4.550000000000001,0.45500000000000007,1654.0456206906608,1.0,7818.645860617889,781.8645860617889,865231.0496904359,6
206.93237124339154,4.65,0.4650000000000001,1654.5106206906607,1.0,7993.950855005918,799.3950855005919,866030.4447759364,6
207.03237124339154,4.75,0.47500000000000003,1654.9856206906607,1.0,8169.481933556449,816.9481933556449,866847.3929692921,6
207.13237124339153,4.85,0.485,1655.4706206906606,1.0,8345.243958294477,834.5243958294477,867681.9173651215,6
207.23237124339153,4.949999999999999,0.49499999999999994,1655.9656206906604,1.0,8521.24179124501,852.124179124501,868534.041544246,6
207.33237124339152,5.049999999999999,0.5049999999999999,1656.4706206906606,1.0,8697.480294433039,869.748029443304,869403.7895736893,6
207.43237124339151,5.149999999999999,0.5149999999999999,1656.9856206906607,1.0,8873.964329883567,887.3964329883568,870291.1860066777,6
207.53237124339154,5.249999999999998,0.5249999999999998,1657.5106206906607,1.0,9050.698759621597,905.0698759621597,871196.2558826399,6
207.63237124339153,5.349999999999998,0.5349999999999998,1658.0456206906608,1.0,9227.688445672127,922.7688445672128,872119.0247272071,6
207.73237124339153,5.4499999999999975,0.5449999999999998,1658.590620690661,1.0,9404.938250060157,940.4938250060158,873059.5185522132,6
207.83237124339152,5.549999999999997,0.5549999999999997,1659.145620690661,1.0,9582.453034810685,958.2453034810686,874017.7638556943,6
207.93237124339151,5.649999999999997,0.5649999999999997,1659.710620690661,1.0,9760.237661948717,976.0237661948718,874993.7876218891,6
208.03237124339154,5.7499999999999964,0.5749999999999996,1660.285620690661,1.0,9938.296993499247,993.8296993499248,875987.6173212391,6
208.13237124339153,5.849999999999996,0.5849999999999996,1660.870620690661,1.0,10116.635891487276,1011.6635891487276,876999.2809103879,6
208.23237124339153,5.949999999999996,0.5949999999999996,1661.4656206906611,1.0,10295.259217937804,1029.5259217937805,878028.8068321816,6
208.33237124339152,6.049999999999995,0.6049999999999995,1662.0706206906611,1.0,10474.171834875837,1047.4171834875838,879076.2240156692,6
208.43237124339151,6.149999999999995,0.6149999999999995,1662.6856206906612,1.0,10653.378604326368,1065.337860432637,880141.5618761019,6
208.53237124339154,6.249999999999995,0.6249999999999996,1663.3106206906612,1.0,10832.884388314396,1083.2884388314396,881224.8503149333,6
208.63237124339153,6.349999999999994,0.6349999999999995,1663.9456206906611,1.0,11012.694048864925,1101.2694048864926,882326.1197198199,6
208.73237124339153,6.449999999999994,0.6449999999999995,1664.5906206906611,1.0,11192.812448002956,1119.2812448002958,883445.4009646202,6
208.83237124339152,6.549999999999994,0.6549999999999994,1665.245620690661,1.0,11373.244447753486,1137.3244447753486,884582.7254093955,6
