segment_id,segment_length,cumulative_length,segment_elev_change,segment_time,cumulative_time,segment_energy,cumulative_energy
1,24.48329411351092,24.48329411351092,0.0,8.999999999999984,8.999999999999984,232648.1411484376,232648.1411484376
2,69.51151896835957,93.99481308187049,3.0,15.399999999999961,24.399999999999945,861976.9315591269,1094625.0727075646
3,234.59934954642796,328.5941626282985,3.0,31.70000000000018,56.10000000000012,2019159.1408644554,3113784.2135720197
4,438.5384563390209,767.1326189673193,1.0,48.900000000000425,105.00000000000054,2871078.588038962,5984862.801610982
5,876.3280017233162,1643.4606206906356,-20.0,88.89999999999922,193.89999999999975,2467788.979191126,8452651.780802108
6,1174.5426023515422,2818.0032230421775,-10.0,115.89999999999769,309.79999999999745,5157516.234403911,13610168.01520602
7,336.61789700460855,3154.621120046786,3.0,40.3000000000003,350.09999999999775,2566233.8336055446,16176401.848811565
8,96.66555217810568,3251.286672224892,0.0,18.19999999999999,368.29999999999774,917963.2470937489,17094365.095905315
9,163.62070998934294,3414.907382214235,1.0,24.300000000000075,392.5999999999978,1469733.3193250694,18564098.415230386
